env,seed,K,algo,iter,episode,reward,q25
Acrobot-v1,0,20,CSIL+SOAR,0,0,-74.4,-79.0
Acrobot-v1,0,20,CSIL+SOAR,48,575,-72.45,-75.75
Acrobot-v1,0,20,CSIL+SOAR,96,1154,-85.3,-86.0
Acrobot-v1,0,20,CSIL+SOAR,144,1725,-74.4,-83.0
Acrobot-v1,0,20,CSIL+SOAR,192,2301,-78.55,-87.0
Acrobot-v1,0,20,CSIL+SOAR,240,2880,-76.3,-83.75
Acrobot-v1,0,20,CSIL+SOAR,288,3463,-74.7,-83.75
Acrobot-v1,0,20,CSIL+SOAR,336,4048,-75.45,-86.0
Acrobot-v1,0,20,CSIL+SOAR,384,4633,-75.8,-86.0
Acrobot-v1,0,20,CSIL+SOAR,432,5222,-74.25,-83.75
Acrobot-v1,0,20,CSIL+SOAR,480,5801,-71.75,-81.25
Acrobot-v1,0,50,CSIL+SOAR,0,0,-76.65,-83.75
Acrobot-v1,0,50,CSIL+SOAR,48,577,-80.35,-94.25
Acrobot-v1,0,50,CSIL+SOAR,96,1176,-80.95,-90.5
Acrobot-v1,0,50,CSIL+SOAR,144,1755,-83.05,-89.25
Acrobot-v1,0,50,CSIL+SOAR,192,2344,-79.8,-90.25
Acrobot-v1,0,50,CSIL+SOAR,240,2931,-74.6,-79.75
Acrobot-v1,0,50,CSIL+SOAR,288,3534,-72.75,-79.75
Acrobot-v1,0,50,CSIL+SOAR,336,4147,-73.65,-78.25
Acrobot-v1,0,50,CSIL+SOAR,384,4755,-81.7,-84.0
Acrobot-v1,0,50,CSIL+SOAR,432,5344,-76.25,-79.75
Acrobot-v1,0,50,CSIL+SOAR,480,5945,-70.85,-73.25
Acrobot-v1,0,100,CSIL+SOAR,0,0,-83.25,-93.25
Acrobot-v1,0,100,CSIL+SOAR,48,573,-87.15,-93.25
Acrobot-v1,0,100,CSIL+SOAR,96,1148,-87.1,-92.25
Acrobot-v1,0,100,CSIL+SOAR,144,1733,-84.5,-93.5
Acrobot-v1,0,100,CSIL+SOAR,192,2327,-87.75,-93.25
Acrobot-v1,0,100,CSIL+SOAR,240,2915,-76.85,-89.75
Acrobot-v1,0,100,CSIL+SOAR,288,3495,-84.95,-91.5
Acrobot-v1,0,100,CSIL+SOAR,336,4080,-96.6,-92.0
Acrobot-v1,0,100,CSIL+SOAR,384,4669,-81.25,-85.75
Acrobot-v1,0,100,CSIL+SOAR,432,5268,-84.05,-94.5
Acrobot-v1,0,100,CSIL+SOAR,480,5857,-81.7,-94.0
Acrobot-v1,1,20,CSIL+SOAR,0,0,-83.2,-92.0
Acrobot-v1,1,20,CSIL+SOAR,48,578,-85.65,-94.0
Acrobot-v1,1,20,CSIL+SOAR,96,1151,-83.45,-91.75
Acrobot-v1,1,20,CSIL+SOAR,144,1737,-85.95,-92.25
Acrobot-v1,1,20,CSIL+SOAR,192,2327,-85.55,-92.25
Acrobot-v1,1,20,CSIL+SOAR,240,2907,-88.75,-97.0
Acrobot-v1,1,20,CSIL+SOAR,288,3474,-91.0,-95.25
Acrobot-v1,1,20,CSIL+SOAR,336,4044,-90.15,-94.25
Acrobot-v1,1,20,CSIL+SOAR,384,4623,-87.05,-94.25
Acrobot-v1,1,20,CSIL+SOAR,432,5206,-88.1,-92.0
Acrobot-v1,1,20,CSIL+SOAR,480,5801,-84.45,-92.25
Acrobot-v1,1,50,CSIL+SOAR,0,0,-81.4,-90.75
Acrobot-v1,1,50,CSIL+SOAR,48,590,-84.8,-92.25
Acrobot-v1,1,50,CSIL+SOAR,96,1178,-83.0,-92.25
Acrobot-v1,1,50,CSIL+SOAR,144,1773,-86.05,-92.0
Acrobot-v1,1,50,CSIL+SOAR,192,2378,-86.8,-93.25
Acrobot-v1,1,50,CSIL+SOAR,240,2975,-84.1,-90.0
Acrobot-v1,1,50,CSIL+SOAR,288,3559,-86.35,-87.5
Acrobot-v1,1,50,CSIL+SOAR,336,4145,-80.35,-90.5
Acrobot-v1,1,50,CSIL+SOAR,384,4748,-80.65,-90.5
Acrobot-v1,1,50,CSIL+SOAR,432,5336,-80.5,-90.5
Acrobot-v1,1,50,CSIL+SOAR,480,5941,-81.45,-90.5
Acrobot-v1,1,100,CSIL+SOAR,0,0,-81.95,-91.0
Acrobot-v1,1,100,CSIL+SOAR,48,587,-88.7,-98.5
Acrobot-v1,1,100,CSIL+SOAR,96,1183,-79.2,-90.25
Acrobot-v1,1,100,CSIL+SOAR,144,1786,-82.05,-92.25
Acrobot-v1,1,100,CSIL+SOAR,192,2391,-81.65,-95.0
Acrobot-v1,1,100,CSIL+SOAR,240,3001,-84.4,-90.0
Acrobot-v1,1,100,CSIL+SOAR,288,3591,-87.8,-91.25
Acrobot-v1,1,100,CSIL+SOAR,336,4190,-81.5,-79.75
Acrobot-v1,1,100,CSIL+SOAR,384,4780,-74.65,-78.25
Acrobot-v1,1,100,CSIL+SOAR,432,5383,-78.15,-87.75
Acrobot-v1,1,100,CSIL+SOAR,480,5993,-86.15,-100.5
Acrobot-v1,2,20,CSIL+SOAR,0,0,-100.7,-88.5
Acrobot-v1,2,20,CSIL+SOAR,48,561,-83.65,-92.25
Acrobot-v1,2,20,CSIL+SOAR,96,1115,-82.75,-91.0
Acrobot-v1,2,20,CSIL+SOAR,144,1673,-82.2,-94.0
Acrobot-v1,2,20,CSIL+SOAR,192,2241,-81.85,-90.5
Acrobot-v1,2,20,CSIL+SOAR,240,2810,-105.4,-92.0
Acrobot-v1,2,20,CSIL+SOAR,288,3376,-103.45,-93.25
Acrobot-v1,2,20,CSIL+SOAR,336,3946,-107.5,-93.25
Acrobot-v1,2,20,CSIL+SOAR,384,4501,-101.55,-93.25
Acrobot-v1,2,20,CSIL+SOAR,432,5064,-103.3,-92.0
Acrobot-v1,2,20,CSIL+SOAR,480,5626,-104.0,-92.25
Acrobot-v1,2,50,CSIL+SOAR,0,0,-77.3,-82.75
Acrobot-v1,2,50,CSIL+SOAR,48,578,-87.95,-89.75
Acrobot-v1,2,50,CSIL+SOAR,96,1141,-76.95,-79.75
Acrobot-v1,2,50,CSIL+SOAR,144,1723,-75.1,-79.75
Acrobot-v1,2,50,CSIL+SOAR,192,2297,-80.1,-82.0
Acrobot-v1,2,50,CSIL+SOAR,240,2879,-77.75,-82.0
Acrobot-v1,2,50,CSIL+SOAR,288,3467,-76.9,-82.25
Acrobot-v1,2,50,CSIL+SOAR,336,4052,-76.45,-82.0
Acrobot-v1,2,50,CSIL+SOAR,384,4635,-75.7,-82.0
Acrobot-v1,2,50,CSIL+SOAR,432,5224,-81.1,-82.25
Acrobot-v1,2,50,CSIL+SOAR,480,5821,-76.45,-82.0
Acrobot-v1,2,100,CSIL+SOAR,0,0,-78.25,-91.25
Acrobot-v1,2,100,CSIL+SOAR,48,611,-82.4,-100.25
Acrobot-v1,2,100,CSIL+SOAR,96,1210,-77.4,-97.25
Acrobot-v1,2,100,CSIL+SOAR,144,1811,-78.75,-95.0
Acrobot-v1,2,100,CSIL+SOAR,192,2412,-76.05,-88.25
Acrobot-v1,2,100,CSIL+SOAR,240,3013,-79.3,-92.0
Acrobot-v1,2,100,CSIL+SOAR,288,3627,-77.95,-86.75
Acrobot-v1,2,100,CSIL+SOAR,336,4239,-77.9,-96.5
Acrobot-v1,2,100,CSIL+SOAR,384,4856,-78.05,-92.25
Acrobot-v1,2,100,CSIL+SOAR,432,5469,-77.45,-92.0
Acrobot-v1,2,100,CSIL+SOAR,480,6092,-77.8,-92.0
Acrobot-v1,0,20,CSIL,0,0,-78.0,-81.5
Acrobot-v1,0,20,CSIL,48,560,-84.55,-93.25
Acrobot-v1,0,20,CSIL,96,1116,-94.7,-86.75
Acrobot-v1,0,20,CSIL,144,1678,-82.2,-83.75
Acrobot-v1,0,20,CSIL,192,2247,-86.5,-93.5
Acrobot-v1,0,20,CSIL,240,2809,-83.3,-88.25
Acrobot-v1,0,20,CSIL,288,3367,-86.25,-86.5
Acrobot-v1,0,20,CSIL,336,3928,-83.7,-93.25
Acrobot-v1,0,20,CSIL,384,4494,-84.35,-91.0
Acrobot-v1,0,20,CSIL,432,5062,-76.5,-82.25
Acrobot-v1,0,20,CSIL,480,5638,-78.5,-84.25
Acrobot-v1,0,50,CSIL,0,0,-87.6,-94.5
Acrobot-v1,0,50,CSIL,48,576,-83.15,-94.25
Acrobot-v1,0,50,CSIL,96,1141,-81.85,-92.75
Acrobot-v1,0,50,CSIL,144,1725,-71.75,-75.25
Acrobot-v1,0,50,CSIL,192,2305,-83.05,-96.0
Acrobot-v1,0,50,CSIL,240,2877,-84.0,-88.5
Acrobot-v1,0,50,CSIL,288,3450,-83.05,-86.5
Acrobot-v1,0,50,CSIL,336,4035,-85.3,-88.0
Acrobot-v1,0,50,CSIL,384,4611,-82.7,-88.75
Acrobot-v1,0,50,CSIL,432,5199,-80.8,-87.0
Acrobot-v1,0,50,CSIL,480,5792,-79.2,-84.0
Acrobot-v1,0,100,CSIL,0,0,-83.9,-93.75
Acrobot-v1,0,100,CSIL,48,562,-90.4,-96.75
Acrobot-v1,0,100,CSIL,96,1135,-96.05,-94.0
Acrobot-v1,0,100,CSIL,144,1731,-85.15,-101.75
Acrobot-v1,0,100,CSIL,192,2295,-82.7,-95.75
Acrobot-v1,0,100,CSIL,240,2862,-86.95,-97.75
Acrobot-v1,0,100,CSIL,288,3430,-82.15,-82.5
Acrobot-v1,0,100,CSIL,336,4008,-83.95,-96.5
Acrobot-v1,0,100,CSIL,384,4588,-85.0,-93.0
Acrobot-v1,0,100,CSIL,432,5162,-83.85,-84.0
Acrobot-v1,0,100,CSIL,480,5734,-94.75,-98.0
Acrobot-v1,1,20,CSIL,0,0,-81.1,-92.25
Acrobot-v1,1,20,CSIL,48,561,-92.55,-94.5
Acrobot-v1,1,20,CSIL,96,1153,-78.2,-87.75
Acrobot-v1,1,20,CSIL,144,1737,-78.85,-87.75
Acrobot-v1,1,20,CSIL,192,2323,-82.65,-92.0
Acrobot-v1,1,20,CSIL,240,2885,-93.4,-92.0
Acrobot-v1,1,20,CSIL,288,3461,-83.2,-92.0
Acrobot-v1,1,20,CSIL,336,4045,-82.85,-92.0
Acrobot-v1,1,20,CSIL,384,4620,-80.85,-92.0
Acrobot-v1,1,20,CSIL,432,5193,-83.1,-90.5
Acrobot-v1,1,20,CSIL,480,5771,-81.7,-92.0
Acrobot-v1,1,50,CSIL,0,0,-81.25,-93.5
Acrobot-v1,1,50,CSIL,48,577,-83.25,-93.75
Acrobot-v1,1,50,CSIL,96,1142,-78.1,-91.0
Acrobot-v1,1,50,CSIL,144,1725,-93.1,-90.5
Acrobot-v1,1,50,CSIL,192,2320,-89.0,-92.0
Acrobot-v1,1,50,CSIL,240,2883,-81.5,-88.5
Acrobot-v1,1,50,CSIL,288,3460,-83.9,-92.25
Acrobot-v1,1,50,CSIL,336,4055,-89.65,-100.25
Acrobot-v1,1,50,CSIL,384,4634,-87.0,-95.0
Acrobot-v1,1,50,CSIL,432,5215,-89.55,-100.25
